Title,Rating,URL
Frieren: Beyond Journey's End,4.6,https://www.anime-planet.com/anime/frieren-beyond-journeys-end
The Apothecary Diaries 2nd Season,4.6,https://www.anime-planet.com/anime/the-apothecary-diaries-2nd-season
The Apothecary Diaries,4.6,https://www.anime-planet.com/anime/the-apothecary-diaries
Fullmetal Alchemist: Brotherhood,4.6,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood
Heaven Official's Blessing 2nd Season,4.5,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season
The Master of Diabolism 3,4.5,https://www.anime-planet.com/anime/the-master-of-diabolism-3
Attack on Titan 3rd Season: Part II,4.5,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii
Demon Slayer: Kimetsu no Yaiba Movie - Infinity Castle: Part 1,4.5,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-movie-infinity-castle-part-1
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,4.5,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc
Fruits Basket the Final Season,4.5,https://www.anime-planet.com/anime/fruits-basket-the-final-season
Frieren: Beyond Journey's End Season 2,4.5,https://www.anime-planet.com/anime/frieren-beyond-journeys-end-season-2
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,4.5,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy
A Silent Voice,4.5,https://www.anime-planet.com/anime/a-silent-voice
Heaven Official's Blessing Special,4.5,https://www.anime-planet.com/anime/heaven-officials-blessing-special
Bleach: Thousand-Year Blood War,4.5,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war
Haikyuu!! Second Season,4.5,https://www.anime-planet.com/anime/haikyuu-second-season
your name.,4.5,https://www.anime-planet.com/anime/your-name
Solo Leveling Season 2: Arise from the Shadow,4.5,https://www.anime-planet.com/anime/solo-leveling-season-2-arise-from-the-shadow
Hunter x Hunter (2011),4.5,https://www.anime-planet.com/anime/hunter-x-hunter-2011
Attack on Titan The Final Season: The Final Chapters,4.5,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters
One Piece: Fan Letter,4.5,https://www.anime-planet.com/anime/one-piece-fan-letter
Haikyuu!! Movie 5: The Dumpster Battle,4.5,https://www.anime-planet.com/anime/haikyuu-movie-5-the-dumpster-battle
Chainsaw Man: The Movie - Reze Arc,4.5,https://www.anime-planet.com/anime/chainsaw-man-the-movie-reze-arc
Link Click 2nd Season,4.5,https://www.anime-planet.com/anime/link-click-2nd-season
Attack on Titan The Final Season,4.5,https://www.anime-planet.com/anime/attack-on-titan-the-final-season
Haikyuu!! To the Top: Part II,4.5,https://www.anime-planet.com/anime/haikyuu-to-the-top-part-ii
Jujutsu Kaisen,4.5,https://www.anime-planet.com/anime/jujutsu-kaisen
Code Geass: Lelouch of the Rebellion R2,4.5,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion-r2
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,4.5,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-movie-mugen-train
Heaven Official's Blessing,4.5,https://www.anime-planet.com/anime/heaven-officials-blessing
Gintama: The Very Final,4.5,https://www.anime-planet.com/anime/gintama-the-very-final
The Master of Diabolism 2,4.5,https://www.anime-planet.com/anime/the-master-of-diabolism-2
Kaguya-sama: Love is War - Ultra Romantic,4.5,https://www.anime-planet.com/anime/kaguya-sama-love-is-war-ultra-romantic
Violet Evergarden Movie,4.4,https://www.anime-planet.com/anime/violet-evergarden-movie
Gintama': Enchousen,4.4,https://www.anime-planet.com/anime/gintama-enchousen
